region;name
Northern Africa;Algeria
Northern Africa;Egypt
Northern Africa;Libya
Northern Africa;Morocco
Northern Africa;Sudan
Northern Africa;Tunisia
Northern Africa;Western Sahara
Eastern Africa;British Indian Ocean Territory
Eastern Africa;Burundi
Eastern Africa;Comoros
Eastern Africa;Djibouti
Eastern Africa;Eritrea
Eastern Africa;Ethiopia
Eastern Africa;French Southern Territories
Eastern Africa;Kenya
Eastern Africa;Madagascar
Eastern Africa;Malawi
Eastern Africa;Mauritius
Eastern Africa;Mayotte
Eastern Africa;Mozambique
Eastern Africa;Réunion
Eastern Africa;Rwanda
Eastern Africa;Seychelles
Eastern Africa;Somalia
Eastern Africa;South Sudan
Eastern Africa;Uganda
Eastern Africa;United Republic of Tanzania
Eastern Africa;Zambia
Eastern Africa;Zimbabwe
Middle Africa;Angola
Middle Africa;Cameroon
Middle Africa;Central African Republic
Middle Africa;Chad
Middle Africa;Congo
Middle Africa;Democratic Republic of the Congo
Middle Africa;Equatorial Guinea
Middle Africa;Gabon
Middle Africa;Sao Tome & Principe
Southern Africa;Botswana
Southern Africa;Eswatini
Southern Africa;Lesotho
Southern Africa;Namibia
Southern Africa;South Africa
Western Africa;Benin
Western Africa;Burkina Faso
Western Africa;Cabo Verde
Western Africa;Côte d’Ivoire
Western Africa;Gambia
Western Africa;Ghana
Western Africa;Guinea
Western Africa;Guinea-Bissau
Western Africa;Liberia
Western Africa;Mali
Western Africa;Mauritania
Western Africa;Niger
Western Africa;Nigeria
Western Africa;Saint Helena
Western Africa;Senegal
Western Africa;Sierra Leone
Western Africa;Togo
Caribbean;Anguilla
Caribbean;Antigua & Barbuda
Caribbean;Aruba
Caribbean;Bahamas
Caribbean;Barbados
Caribbean;Bonaire
Caribbean;British Virgin Islands
Caribbean;Cayman Islands
Caribbean;Cuba
Caribbean;Curaçao
Caribbean;Dominica
Caribbean;Dominican Republic
Caribbean;Grenada
Caribbean;Guadeloupe
Caribbean;Haiti
Caribbean;Jamaica
Caribbean;Martinique
Caribbean;Montserrat
Caribbean;Puerto Rico
Caribbean;Saint Barthélemy
Caribbean;Saint Kitts & Nevis
Caribbean;Saint Lucia
Caribbean;Saint Martin (French Part)
Caribbean;Saint Vincent & the Grenadines
Caribbean;Sint Maarten (Dutch part)
Caribbean;Trinidad & Tobago
Caribbean;Turks & Caicos Islands
Caribbean;United States Virgin Islands
Central America;Belize
Central America;Costa Rica
Central America;El Salvador
Central America;Guatemala
Central America;Honduras
Central America;Mexico
Central America;Nicaragua
Central America;Panama
South America;Argentina
South America;Bolivia (Plurinational State of)
South America;Bouvet Island
South America;Brazil
South America;Chile
South America;Colombia
South America;Ecuador
South America;Falkland Islands (Malvinas)
South America;French Guiana
South America;Guyana
South America;Paraguay
South America;Peru
South America;South Georgia & the South Sandwich Islands
South America;Suriname
South America;Uruguay
South America;Venezuela (Bolivarian Republic of)
Northern America;Bermuda
Northern America;Canada
Northern America;Greenland
Northern America;Saint Pierre & Miquelon
Northern America;United States of America
Antarctica;Antarctica
Central Asia;Kazakhstan
Central Asia;Kyrgyzstan
Central Asia;Tajikistan
Central Asia;Turkmenistan
Central Asia;Uzbekistan
Eastern Asia;China
Eastern Asia;China
Eastern Asia;China
Eastern Asia;Democratic People's Republic of Korea
Eastern Asia;Japan
Eastern Asia;Mongolia
Eastern Asia;Republic of Korea
South-eastern Asia;Brunei Darussalam
South-eastern Asia;Cambodia
South-eastern Asia;Indonesia
South-eastern Asia;Lao People's Democratic Republic
South-eastern Asia;Malaysia
South-eastern Asia;Myanmar
South-eastern Asia;Philippines
South-eastern Asia;Singapore
South-eastern Asia;Thailand
South-eastern Asia;Timor-Leste
South-eastern Asia;Viet Nam
Southern Asia;Afghanistan
Southern Asia;Bangladesh
Southern Asia;Bhutan
Southern Asia;India
Southern Asia;Iran (Islamic Republic of)
Southern Asia;Maldives
Southern Asia;Nepal
Southern Asia;Pakistan
Southern Asia;Sri Lanka
Western Asia;Armenia
Western Asia;Azerbaijan
Western Asia;Bahrain
Western Asia;Cyprus
Western Asia;Georgia
Western Asia;Iraq
Western Asia;Israel
Western Asia;Jordan
Western Asia;Kuwait
Western Asia;Lebanon
Western Asia;Oman
Western Asia;Qatar
Western Asia;Saudi Arabia
Western Asia;State of Palestine
Western Asia;Syrian Arab Republic
Western Asia;Turkey
Western Asia;United Arab Emirates
Western Asia;Yemen
Eastern Europe;Belarus
Eastern Europe;Bulgaria
Eastern Europe;Czechia
Eastern Europe;Hungary
Eastern Europe;Poland
Eastern Europe;Republic of Moldova
Eastern Europe;Romania
Eastern Europe;Russian Federation
Eastern Europe;Slovakia
Eastern Europe;Ukraine
Northern Europe;Åland Islands
Northern Europe;Guernsey
Northern Europe;Jersey
Northern Europe;Sark
Northern Europe;Denmark
Northern Europe;Estonia
Northern Europe;Faroe Islands
Northern Europe;Finland
Northern Europe;Iceland
Northern Europe;Ireland
Northern Europe;Isle of Man
Northern Europe;Latvia
Northern Europe;Lithuania
Northern Europe;Norway
Northern Europe;Svalbard & Jan Mayen Islands
Northern Europe;Sweden
Northern Europe;United Kingdom of Great Britain & Northern Ireland
Southern Europe;Albania
Southern Europe;Andorra
Southern Europe;Bosnia & Herzegovina
Southern Europe;Croatia
Southern Europe;Gibraltar
Southern Europe;Greece
Southern Europe;Holy See
Southern Europe;Italy
Southern Europe;Malta
Southern Europe;Montenegro
Southern Europe;North Macedonia
Southern Europe;Portugal
Southern Europe;San Marino
Southern Europe;Serbia
Southern Europe;Slovenia
Southern Europe;Spain
Western Europe;Austria
Western Europe;Belgium
Western Europe;France
Western Europe;Germany
Western Europe;Liechtenstein
Western Europe;Luxembourg
Western Europe;Monaco
Western Europe;Netherlands
Western Europe;Switzerland
Australia & New Zealand;Australia
Australia & New Zealand;Christmas Island
Australia & New Zealand;Cocos (Keeling) Islands
Australia & New Zealand;Heard Island & McDonald Islands
Australia & New Zealand;New Zealand
Australia & New Zealand;Norfolk Island
Melanesia;Fiji
Melanesia;New Caledonia
Melanesia;Papua New Guinea
Melanesia;Solomon Islands
Melanesia;Vanuatu
Micronesia;Guam
Micronesia;Kiribati
Micronesia;Marshall Islands
Micronesia;Micronesia (Federated States of)
Micronesia;Nauru
Micronesia;Northern Mariana Islands
Micronesia;Palau
Micronesia;United States Minor Outlying Islands
Polynesia;American Samoa
Polynesia;Cook Islands
Polynesia;French Polynesia
Polynesia;Niue
Polynesia;Pitcairn
Polynesia;Samoa
Polynesia;Tokelau
Polynesia;Tonga
Polynesia;Tuvalu
Polynesia;Wallis & Futuna Islands